object_id,catalog_type,region,file,sha256,n_observations,baseline_days,has_errors,candidate_rank,catalog_period,catalog_secondary_period
OGLE-GD-RRLYR-09155,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-09155.dat,ed7e716318c9190b365678c62e13fc4ef78102163de4b8113ef9d1dbf56ef000,128,2206.741180000001,True,44,0.6067381,
OGLE-GD-RRLYR-09163,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-09163.dat,f0b00e5cf87ccc5f5d0570bf15ef8fa392b51804bc441621707b6d2e9fa17268,126,2206.7413400000005,True,418,0.74864496,
OGLE-GD-RRLYR-09165,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-09165.dat,080ecb1c2a34875905e167f6c5b09d0d7e5356d6d7bb522cff137c276e850610,124,2207.7355800000005,True,106,0.67353661,
OGLE-GD-RRLYR-09171,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-09171.dat,cf9d386dfa3e862369f59991fbc79b73ccd46c0cdeb9232fe89b95dde8a42560,122,2206.741580000001,True,174,0.5626551,
OGLE-GD-RRLYR-09173,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-09173.dat,23d460f912a75c9b47100bdc9e2d90318b59be2beab672f2b09e981507ab6719,123,2206.741580000001,True,419,0.51204182,
OGLE-GD-RRLYR-09215,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-09215.dat,3558624fbbf430c045126577af76b65075a5ae2a6b4f65e857d3d91c193136e6,125,2207.73553,True,83,0.51071451,
OGLE-GD-RRLYR-09233,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-09233.dat,153256a9faecb30437d411b1a65c8a5fe062976aae2b2bd501fce013afa4aae7,123,2206.741580000001,True,380,0.3396151,
OGLE-GD-RRLYR-09248,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-09248.dat,d1c66c50e74139acf0060ab0a53d3e912ac4c1cea8be00f8f2c664bd325f939c,128,2206.741180000001,True,216,0.41569167,
OGLE-GD-RRLYR-09260,RRc,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-09260.dat,c660f4fc1d1d2f79514ec8d9bc2383b6d1749146490ad0499d00821abff127ba,120,2206.7413400000005,True,63,0.36891645,
OGLE-GD-RRLYR-09263,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-09263.dat,9ea98490dd40a24d03af393c8ef0ea993be46d681c939b41942d69f0e87e0eb1,119,2206.74168,True,137,0.55375182,
OGLE-GD-RRLYR-09266,RRc,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-09266.dat,019741ebe15e8e7513e388356602d86eceb927010807341f43aa588f88ed1f74,124,2206.741180000001,True,173,0.32651733,
OGLE-GD-RRLYR-09285,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-09285.dat,37ef11970b78c6c59158bea863fcf93f37ee93a4353fde3d29534e81207a4c79,122,2206.74168,True,426,0.57510376,
OGLE-GD-RRLYR-09356,RRc,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-09356.dat,ddbe54166ad14c460a0a9b9147abd417a12342c9e9bd54681c69dbda181d1e5a,127,2231.7377699999997,True,502,0.22457382,
OGLE-GD-RRLYR-09362,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-09362.dat,d05f80ee03f067378b5a3d86b74ceed5f4a1ad1c3d2712732eaacfe80f87511f,124,2206.74168,True,454,0.50028332,
OGLE-GD-RRLYR-09388,RRc,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-09388.dat,a54bbbae19e8477b15d38008a6ae509c7bf88881c5e27ac8ddfe5e87ddb66c01,126,2206.741030000001,True,81,0.23616412,
OGLE-GD-RRLYR-09400,RRc,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-09400.dat,75a458fa76f0b69aafcc925dfca87bbdcbbc151f0d22a72a7a07cb9120ee928f,127,2206.742330000001,True,468,0.36322803,
OGLE-GD-RRLYR-09413,RRc,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-09413.dat,59419b5dc0f89be36789092f4296363fdb4599b7aea8824abe65079e6c270cdd,127,2206.7406600000013,True,478,0.33035478,
OGLE-GD-RRLYR-09443,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-09443.dat,d486cc307099915b53b236b05614dba3ee1b887dfa56e7dd8af389d303859af3,127,2206.7406600000013,True,178,0.52345207,
OGLE-GD-RRLYR-09486,RRc,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-09486.dat,4210bd5c03923a4e2a3776873c042b070eb8c3ca2e2203b28dd891a2f8c50c74,121,2206.742519999999,True,456,0.31079264,
OGLE-GD-RRLYR-09499,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-09499.dat,74997cd05847c8856f8c9fe5d3e68448a42a01fe3d82008e99f44a6b059d6436,127,2231.73902,True,427,0.60078747,
OGLE-GD-RRLYR-09501,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-09501.dat,2767e88f3dcfb7cad7090c4c72a52a4c5a3769b75fbdedb9e203a5c59d1e5350,125,2206.742330000001,True,139,0.60749469,
OGLE-GD-RRLYR-09517,RRc,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-09517.dat,6058132422f70cb78042a682d21cb7a62931d9bc39478c72afaf621393ff7c8e,126,2206.7406600000013,True,412,0.27273771,
OGLE-GD-RRLYR-09526,RRc,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-09526.dat,c87e3b5f3b9b763349d1658b7533b4339cac6cc476c8aeddd66e13eb66ad368e,126,2206.741030000001,True,445,0.31638637,
OGLE-GD-RRLYR-09534,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-09534.dat,71f21b8e7e9c0933265986fdb1a2f110c3f320cc08a90115f10ca50a5a661997,118,2203.744710000001,True,277,0.52845658,
OGLE-GD-RRLYR-09555,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-09555.dat,82126aaf592fea2e88c31c844cba9886f88cd701e207f1f8a451f3b56980f8ce,141,2204.7575699999998,True,333,0.48303209,
