representation,model,replicate,ari_stability_all,ari_stability_common_assigned,common_assigned_fraction,coverage,catalog_ari_subset
Classical full,DBSCAN,9,0.9185707376872022,1.0,0.7457212713936431,0.7775061124694377,0.6189363733438542
Classical full,HDBSCAN,9,0.8963530095316237,0.9738049060328223,0.7921760391198044,0.8753056234718827,0.7911710078410695
JDR,K-medoids,10,0.6356841171833963,0.6356841171833963,1.0,1.0,0.20169004635571547
JDR,K-means,10,0.41510483337930115,0.41510483337930115,1.0,1.0,0.19222658058477657
JDR,Average linkage,10,0.8626657788347569,0.8626657788347569,1.0,1.0,0.05629762131288831
JDR,DBSCAN,10,0.7352915647364601,0.5144069955727076,0.7897310513447433,0.80440097799511,0.22542725752300458
JDR,HDBSCAN,10,0.5439457111985477,0.9063075314197087,0.4400977995110024,0.5501222493887531,-0.0498645456934744
Classical shape,K-medoids,10,1.0,1.0,1.0,1.0,0.3099756982237793
Classical shape,K-means,10,0.8518209926201572,0.8518209926201572,1.0,1.0,0.2733341711024587
Classical shape,Average linkage,10,1.0,1.0,1.0,1.0,0.09881913901813029
Classical shape,DBSCAN,10,0.9360367239174632,,0.7701711491442543,0.7775061124694377,0.2940657236081236
Classical shape,HDBSCAN,10,0.7939987262976873,0.7965005607115375,0.5770171149144254,0.6185819070904646,0.33463950698584327
Classical full,K-medoids,10,0.4704619535002719,0.4704619535002719,1.0,1.0,0.3410221530394203
Classical full,K-means,10,0.9470035555840085,0.9470035555840085,1.0,1.0,0.42525398846877
Classical full,Average linkage,10,1.0,1.0,1.0,1.0,0.09881913901813029
Classical full,DBSCAN,10,0.9690856434183449,1.0,0.7652811735941321,0.78239608801956,0.6229728811039223
Classical full,HDBSCAN,10,0.9032603428634575,0.9713538698350929,0.7775061124694377,0.8581907090464548,0.757619069632104
JDR,K-medoids,11,0.6594114425446734,0.6594114425446734,1.0,1.0,0.2516829813565317
JDR,K-means,11,0.9508104157770766,0.9508104157770766,1.0,1.0,0.2563774175636242
JDR,Average linkage,11,0.9773667218628624,0.9773667218628624,1.0,1.0,0.04139118281614647
JDR,DBSCAN,11,0.666702177110661,0.21003560283980263,0.7726161369193154,0.784841075794621,0.11400236144226841
JDR,HDBSCAN,11,0.5562287937826922,0.9125324488805889,0.43765281173594134,0.5525672371638142,-0.0051615933758019945
Classical shape,K-medoids,11,0.9765442141261446,0.9765442141261446,1.0,1.0,0.3355277887532368
Classical shape,K-means,11,0.9156171475687859,0.9156171475687859,1.0,1.0,0.40065314376583133
Classical shape,Average linkage,11,0.9541751417487416,0.9541751417487416,1.0,1.0,0.11825790012021148
Classical shape,DBSCAN,11,0.873525601223846,,0.7652811735941321,0.7872860635696821,0.3391606363796335
Classical shape,HDBSCAN,11,0.8386591772853438,0.8897760996482171,0.6014669926650367,0.6381418092909535,0.39519577530820604
Classical full,K-medoids,11,0.7192327198416821,0.7192327198416821,1.0,1.0,0.3438127672068394
Classical full,K-means,11,0.9492546639762469,0.9492546639762469,1.0,1.0,0.4802440881509502
Classical full,Average linkage,11,1.0,1.0,1.0,1.0,0.1279373369330646
Classical full,DBSCAN,11,0.9543247329275673,1.0,0.7652811735941321,0.7750611246943765,0.6300671086811411
Classical full,HDBSCAN,11,0.9444252290843302,0.9974797941609096,0.7970660146699267,0.8361858190709046,0.7626253551396618
JDR,K-medoids,12,0.9725483770697763,0.9725483770697763,1.0,1.0,0.23795011435946567
JDR,K-means,12,0.6857474970232819,0.6857474970232819,1.0,1.0,0.24093883454734735
JDR,Average linkage,12,0.9070217839930674,0.9070217839930674,1.0,1.0,-0.004667077991650406
JDR,DBSCAN,12,0.6225657657889456,0.14347256002900943,0.7603911980440098,0.7750611246943765,0.14587866670621796
JDR,HDBSCAN,12,0.49016090823613356,0.8117350508403388,0.4278728606356968,0.5378973105134475,-0.00594931336096726
Classical shape,K-medoids,12,0.5584071909530279,0.5584071909530279,1.0,1.0,0.2130144376548395
Classical shape,K-means,12,0.8851094148312572,0.8851094148312572,1.0,1.0,0.4091949940001795
Classical shape,Average linkage,12,0.9991341409481885,0.9991341409481885,1.0,1.0,0.09699748693154651
Classical shape,DBSCAN,12,0.8748824703416866,,0.7579462102689487,0.7775061124694377,0.33990315899231494
Classical shape,HDBSCAN,12,0.7315485658939711,0.8921782066358303,0.5916870415647921,0.6674816625916871,0.35837143751362854
Classical full,K-medoids,12,0.4450278488064803,0.4450278488064803,1.0,1.0,0.33168804970404897
Classical full,K-means,12,0.9760526665503322,0.9760526665503322,1.0,1.0,0.4207362756204995
Classical full,Average linkage,12,1.0,1.0,1.0,1.0,0.09709360603092503
Classical full,DBSCAN,12,0.9324554455054663,0.9954939592281714,0.7677261613691931,0.7921760391198044,0.6538797491135224
Classical full,HDBSCAN,12,0.9590998766210456,0.9959400887424695,0.7921760391198044,0.8141809290953546,0.7343282402743903
JDR,K-medoids,13,0.9418605392191131,0.9418605392191131,1.0,1.0,0.24513050902046143
JDR,K-means,13,0.5486089598325292,0.5486089598325292,1.0,1.0,0.2424995727716548
JDR,Average linkage,13,0.880361779404247,0.880361779404247,1.0,1.0,0.08817817387589202
JDR,DBSCAN,13,0.6163613330020598,-0.035611580307544015,0.7628361858190709,0.7799511002444988,0.18461433644618824
JDR,HDBSCAN,13,0.46626982830968916,0.8258881592664638,0.4132029339853301,0.5550122249388753,-0.0009265116655222925
Classical shape,K-medoids,13,0.5255557748214783,0.5255557748214783,1.0,1.0,0.10773459733453514
