representation,model,replicate,ari_stability_all,ari_stability_common_assigned,common_assigned_fraction,coverage,catalog_ari_subset
Classical shape,K-means,13,0.9332953162577323,0.9332953162577323,1.0,1.0,0.36711367550087276
Classical shape,Average linkage,13,0.9304678318294358,0.9304678318294358,1.0,1.0,0.07515410329166075
Classical shape,DBSCAN,13,0.7443277498906428,,0.7677261613691931,0.7775061124694377,0.4342254025218974
Classical shape,HDBSCAN,13,0.8657673868672414,0.9976789629926266,0.5672371638141809,0.5696821515892421,0.2644259341636962
Classical full,K-medoids,13,0.6576445132583307,0.6576445132583307,1.0,1.0,0.3446618183729437
Classical full,K-means,13,0.972805425486329,0.972805425486329,1.0,1.0,0.430684927257511
Classical full,Average linkage,13,0.9304678318294358,0.9304678318294358,1.0,1.0,0.07515410329166075
Classical full,DBSCAN,13,0.9447122980718321,1.0,0.7652811735941321,0.7701711491442543,0.6145364156310755
Classical full,HDBSCAN,13,0.9627344695919307,0.9944335809469976,0.7872860635696821,0.8117359413202934,0.7397253226203736
JDR,K-medoids,14,0.5803552430596359,0.5803552430596359,1.0,1.0,0.22672203595844073
JDR,K-means,14,0.44554472349770863,0.44554472349770863,1.0,1.0,0.20591762915757872
JDR,Average linkage,14,0.6974361874698175,0.6974361874698175,1.0,1.0,-0.08395734263668425
JDR,DBSCAN,14,0.5967228534674314,0.322692672061861,0.7799511002444988,0.7897310513447433,0.3413914653703063
JDR,HDBSCAN,14,0.6069390312559694,0.8320623248178062,0.4572127139364303,0.5501222493887531,-0.01854903355551056
Classical shape,K-medoids,14,0.9540386506628278,0.9540386506628278,1.0,1.0,0.3439709036550748
Classical shape,K-means,14,0.8816031174888399,0.8816031174888399,1.0,1.0,0.4337129431385527
Classical shape,Average linkage,14,0.9541751417487416,0.9541751417487416,1.0,1.0,0.10908846994135478
Classical shape,DBSCAN,14,0.7486825154804433,,0.7603911980440098,0.7775061124694377,0.49148931560363107
Classical shape,HDBSCAN,14,0.912775690158293,0.9641765396938167,0.5745721271393643,0.589242053789731,0.30450221260253174
Classical full,K-medoids,14,0.4734677490175069,0.4734677490175069,1.0,1.0,0.6386334472467186
Classical full,K-means,14,0.9336615494405677,0.9336615494405677,1.0,1.0,0.503181396430645
Classical full,Average linkage,14,1.0,1.0,1.0,1.0,0.11785728749824156
Classical full,DBSCAN,14,0.9492597362999469,1.0,0.7555012224938875,0.7701711491442543,0.6577979899191028
Classical full,HDBSCAN,14,0.939749003904243,0.9935295614120606,0.7872860635696821,0.8557457212713936,0.7535847004608913
JDR,K-medoids,15,0.6774769261962089,0.6774769261962089,1.0,1.0,0.22889188635283414
JDR,K-means,15,0.9477051263069027,0.9477051263069027,1.0,1.0,0.26008424581114153
JDR,Average linkage,15,0.35594414986998074,0.35594414986998074,1.0,1.0,0.46511803867953583
JDR,DBSCAN,15,0.6208051816180149,0.140884647715506,0.7726161369193154,0.78239608801956,0.18718042558674014
JDR,HDBSCAN,15,0.4518500518694948,0.8873809466921921,0.4132029339853301,0.5623471882640587,0.015325505627977703
Classical shape,K-medoids,15,0.9892843956699454,0.9892843956699454,1.0,1.0,0.2875098117992401
Classical shape,K-means,15,0.9790076271305991,0.9790076271305991,1.0,1.0,0.31236500107984405
Classical shape,Average linkage,15,1.0,1.0,1.0,1.0,0.08448406926564285
Classical shape,DBSCAN,15,0.9783037175928538,,0.7799511002444988,0.7799511002444988,0.2349231032300042
Classical shape,HDBSCAN,15,0.006394206571368639,,0.6014669926650367,0.9975550122249389,0.06152726945046937
Classical full,K-medoids,15,0.6519901239337129,0.6519901239337129,1.0,1.0,0.3572726613659884
Classical full,K-means,15,0.9098989556462441,0.9098989556462441,1.0,1.0,0.45728809053624103
Classical full,Average linkage,15,1.0,1.0,1.0,1.0,0.08448406926564285
Classical full,DBSCAN,15,0.957714985245193,1.0,0.7677261613691931,0.7701711491442543,0.6189998437122699
Classical full,HDBSCAN,15,0.9465084939621519,0.993066696865016,0.7921760391198044,0.8288508557457213,0.7328363373616051
JDR,K-medoids,16,0.4802005990437403,0.4802005990437403,1.0,1.0,0.2608031201472543
JDR,K-means,16,0.9928894152941207,0.9928894152941207,1.0,1.0,0.2201879141084991
JDR,Average linkage,16,0.2602734784875407,0.2602734784875407,1.0,1.0,0.04786974102767838
JDR,DBSCAN,16,0.6505995006465723,0.32505280479860843,0.7677261613691931,0.784841075794621,0.18207487133205452
JDR,HDBSCAN,16,0.6667066131374783,0.819849926460744,0.4254278728606357,0.4767726161369193,-0.016088236988848745
Classical shape,K-medoids,16,0.9559466918182403,0.9559466918182403,1.0,1.0,0.3132736482741463
Classical shape,K-means,16,0.9147914452404254,0.9147914452404254,1.0,1.0,0.39393321662020814
Classical shape,Average linkage,16,1.0,1.0,1.0,1.0,0.08194191943661228
Classical shape,DBSCAN,16,0.9244592677162671,,0.7775061124694377,0.784841075794621,0.2665062527369597
