skewness,excess_kurtosis,bowley_skewness,tail_ratio,phase_eta,R21,R31,R41,cos_phi21,sin_phi21,cos_phi31,sin_phi31,residual_fraction,log10_period,log10_std_mag,log10_q95_q05_amplitude,object_id
-0.3616904822528081,-0.6110410586644783,-0.28598130841121056,2.609906542056057,0.013491733066340087,0.5755159612129336,0.3633644947951097,0.23392735794321903,-0.31497783000161517,-0.9490990288728957,-0.909229544619035,0.41629512991609957,0.02781310031813308,-0.3698231322391775,-0.7054241083249161,-0.15605125764395036,OGLE-GD-RRLYR-00631
-0.39196759095720307,-0.6804637348015903,-0.18955732122588145,2.0919409761634378,0.4110057236402294,0.3597918321008473,0.2372951475098916,0.06791050871328937,-0.5851168205962273,-0.8109490158174941,-0.5696599394785894,0.8218804982193274,0.18148770049592672,-0.24569446122532626,-0.8473419750305895,-0.3365346561088911,OGLE-GD-RRLYR-00632
-0.2238198765888709,-1.0701160108492032,-0.05392620624408861,2.058467360454093,0.020932849885967716,0.5093726172546051,0.34435242096999247,0.23421932892036712,-0.32969137323914466,-0.9440887661717445,-0.9096454003215386,0.4153856589650969,0.01942185089876881,-0.23202463296084375,-0.7656673966757979,-0.2644410189085777,OGLE-GD-RRLYR-00636
-0.13603180130386866,-1.090968892648054,-0.16818181818179714,1.9704545454545417,0.061344941905829946,0.4649209657112377,0.2677526592575398,0.09306167954709672,-0.2228562831278476,-0.9748513102368179,-0.9907694311458972,0.13555786331613218,0.022469899543922058,-0.22531635557199367,-0.8628902154246538,-0.36301089818777044,OGLE-GD-RRLYR-00642
-0.4772239457244174,-0.593776961305005,-0.1697080291971121,1.8275547445255416,0.24421437201047122,0.43941524402399895,0.3178231029227879,0.2414283501450487,-0.48712974825144606,-0.8733296103811452,-0.5364564125920188,0.8439280285598421,0.113727678420035,-0.2216996529636992,-0.7708886566485499,-0.30037904203438615,OGLE-GD-RRLYR-00645
-0.40777982842434424,-0.9463419760310514,-0.2710424710424685,2.0231660231660182,0.020493122597556493,0.5001521124184243,0.3829500093578676,0.24516140956290042,-0.4548605558497786,-0.8905626731073061,-0.793068141729156,0.6091329268511622,0.0297000401529939,-0.261627386435675,-0.7020403716204071,-0.183758700008215,OGLE-GD-RRLYR-00657
0.27900747036315504,-0.5305474746627108,0.08247422680415166,2.1371134020618663,0.3159674991472383,0.42000917911929037,0.2861188250221222,0.1886181909088772,-0.09880672759436303,-0.9951066428187952,-0.9875730918399733,0.15716039028214326,0.1916679779305044,-0.2059274225786078,-0.882315963434671,-0.38237070224215786,OGLE-GD-RRLYR-00664
0.06369981024543907,-1.0379581254647336,-0.08058124174373553,1.7891677675033033,0.298407056652208,0.1250192908529751,0.07502594719330806,0.04333765408488281,0.2816319776968484,-0.9595225005900393,-0.04661722486766455,-0.9989128261993824,0.12461512434585113,-0.4485789640911246,-0.9606117311500892,-0.4703130462270887,OGLE-GD-RRLYR-00666
0.11910152537926137,-1.076031848611083,-0.1720930232558426,1.9841860465116317,0.05994957597067789,0.47085905523436217,0.28665027106468555,0.147802596908022,-0.022939139825195253,-0.9997368633115816,-0.9960580114318801,-0.08870421558397697,0.03047575667771855,-0.16415221700301913,-0.8745597613457747,-0.3699791488865895,OGLE-GD-RRLYR-00674
-0.06459726516893095,-1.4582592443154663,-0.10069444444443172,1.426388888888894,0.05135731352035005,0.12566514612863833,0.049855545130728846,0.021331212206826936,-0.14880989397733912,-0.9888658227759988,-0.7917723640543867,-0.6108162764037381,0.02080909467259283,-0.6247638689850824,-1.1319376640527057,-0.6873995607387386,OGLE-GD-RRLYR-00705
-0.1623763442139496,-1.0315036615635444,-0.1818181818181498,1.804407713498628,0.3271584527625825,0.5295257648980087,0.2031191071755098,0.09728582941595953,-0.3720955158861522,-0.9281944446383087,-0.8972912495845874,0.4414390257090209,0.1709178759206355,-0.17265539583186582,-0.9867630396797885,-0.4847886956721974,OGLE-GD-RRLYR-00720
0.1700101671904651,-0.6598732991546354,-0.09203980099504154,2.203233830845804,0.3421349152867871,0.4741564573665966,0.2898847370020016,0.1921587928316576,-0.31248931848945183,-0.9499212734905972,-0.9989323165556152,0.046197694107306626,0.1553324691643015,-0.2333472565826108,-0.8536019657834328,-0.3537433509861828,OGLE-GD-RRLYR-00725
-0.15745765049543284,-0.9628760136818233,-0.22981366459627042,1.8633540372670885,0.4204280774715447,0.09726508955991228,0.01835454317386592,0.07892043291252135,0.31840516691014575,-0.9479547192165468,0.9707402420996258,-0.240132010295087,0.18928767938710359,-0.5435598697982307,-1.0269181471061306,-0.5228787452803417,OGLE-GD-RRLYR-00745
