representation,model,replicate,ari_stability_all,ari_stability_common_assigned,common_assigned_fraction,coverage,catalog_ari_subset
Classical full,K-medoids,10,0.5455545657007331,0.5455545657007331,1.0,1.0,0.3855521198834186
Classical full,K-means,10,0.5196972716786401,0.5196972716786401,1.0,1.0,0.6009379074879829
Classical full,Average linkage,10,1.0,1.0,1.0,1.0,0.01808124546245541
Classical full,DBSCAN,10,0.8485785751386568,,0.76875,0.795,0.08307424891393775
Classical full,HDBSCAN,10,0.8958849137003804,0.987065336314824,0.54875,0.55375,0.22643223703140966
JDR,K-medoids,11,0.9807356686263166,0.9807356686263166,1.0,1.0,0.2870311671305817
JDR,K-means,11,0.955016340844103,0.955016340844103,1.0,1.0,0.2908163799602245
JDR,Average linkage,11,0.9485510402129578,0.9485510402129578,1.0,1.0,0.671987732313346
JDR,DBSCAN,11,0.8908850199222488,0.9239513534823405,0.78625,0.815,0.5331956117978233
JDR,HDBSCAN,11,0.46701302410573103,0.71535199622992,0.59,0.7325,0.4704394996109422
Classical shape,K-medoids,11,0.9066925077769918,0.9066925077769918,1.0,1.0,0.31911252093381237
Classical shape,K-means,11,0.5640614884240632,0.5640614884240632,1.0,1.0,0.6096238909970276
Classical shape,Average linkage,11,1.0,1.0,1.0,1.0,0.022713080158251544
Classical shape,DBSCAN,11,0.8736353351574693,,0.75875,0.76875,0.10139194548702714
Classical shape,HDBSCAN,11,0.8006971860761151,1.0,0.48125,0.53625,0.20127941202792676
Classical full,K-medoids,11,0.3303420886192645,0.3303420886192645,1.0,1.0,0.36163571599140654
Classical full,K-means,11,0.6022065677317704,0.6022065677317704,1.0,1.0,0.6932527917929729
Classical full,Average linkage,11,1.0,1.0,1.0,1.0,0.018082377311675422
Classical full,DBSCAN,11,0.895481049807304,,0.7775,0.78375,0.0943026252321071
Classical full,HDBSCAN,11,0.855084325795056,0.9913271508942435,0.5725,0.615,0.3051808917607978
JDR,K-medoids,12,0.9903488066960195,0.9903488066960195,1.0,1.0,0.29136933994162595
JDR,K-means,12,0.996944819547992,0.996944819547992,1.0,1.0,0.30449439249007587
JDR,Average linkage,12,0.5342549850792528,0.5342549850792528,1.0,1.0,0.39513406831882725
JDR,DBSCAN,12,0.8911002050611866,0.9536052466444651,0.8025,0.83125,0.558272240200681
JDR,HDBSCAN,12,0.704442742769857,0.8971356615841503,0.5775,0.62625,0.21988419391849484
Classical shape,K-medoids,12,0.4601436522035048,0.4601436522035048,1.0,1.0,0.6009483321652592
Classical shape,K-means,12,0.6054333698080788,0.6054333698080788,1.0,1.0,0.48562917355077134
Classical shape,Average linkage,12,0.7972239421349593,0.7972239421349593,1.0,1.0,0.01827796259844226
Classical shape,DBSCAN,12,0.805139459444241,,0.75375,0.78375,0.10289532876252334
Classical shape,HDBSCAN,12,0.862725935821129,0.9840762776105761,0.4825,0.515,0.1781640569937359
Classical full,K-medoids,12,0.9433171559553262,0.9433171559553262,1.0,1.0,0.7059672335894202
Classical full,K-means,12,0.5482294647150467,0.5482294647150467,1.0,1.0,0.6402413012318009
Classical full,Average linkage,12,0.8877070892592628,0.8877070892592628,1.0,1.0,0.016378626519726994
Classical full,DBSCAN,12,0.7842240066542638,,0.76875,0.8025,0.12231551713146051
Classical full,HDBSCAN,12,0.9266731103126787,1.0,0.54875,0.5575,0.23208699017247825
JDR,K-medoids,13,1.0,1.0,1.0,1.0,0.2853911610636331
JDR,K-means,13,0.8920483575889778,0.8920483575889778,1.0,1.0,0.3059320541385095
JDR,Average linkage,13,0.9010736382707617,0.9010736382707617,1.0,1.0,0.6679574498183111
JDR,DBSCAN,13,0.8924692727987139,0.9515530378404854,0.79625,0.82125,0.5305601126440038
JDR,HDBSCAN,13,0.5350770419158962,0.7941966610836576,0.61875,0.74875,0.4474177370052974
Classical shape,K-medoids,13,0.858333958224184,0.858333958224184,1.0,1.0,0.29241648042816315
Classical shape,K-means,13,0.9459147037327827,0.9459147037327827,1.0,1.0,0.27888020461704316
Classical shape,Average linkage,13,0.5686599208328417,0.5686599208328417,1.0,1.0,0.004508061833482754
Classical shape,DBSCAN,13,0.8520168387980417,,0.75375,0.78,0.11967192675324023
Classical shape,HDBSCAN,13,0.8722914969679412,1.0,0.4525,0.455,0.11945632773269298
Classical full,K-medoids,13,0.5188975025528798,0.5188975025528798,1.0,1.0,0.34938203406601637
Classical full,K-means,13,0.9140392642550541,0.9140392642550541,1.0,1.0,0.4618066353642252
Classical full,Average linkage,13,1.0,1.0,1.0,1.0,0.004508061833482754
Classical full,DBSCAN,13,0.8113969509253914,,0.7675,0.7925,0.11652056094037705
Classical full,HDBSCAN,13,0.9220702146645281,1.0,0.55,0.55875,0.23657993717834325
JDR,K-medoids,14,0.8642131810928045,0.8642131810928045,1.0,1.0,0.3086541769400951
JDR,K-means,14,0.9800380124661627,0.9800380124661627,1.0,1.0,0.3124841459395819
JDR,Average linkage,14,0.5588656961392487,0.5588656961392487,1.0,1.0,0.42193001056427815
JDR,DBSCAN,14,0.9312316638796113,0.9713946201137517,0.7975,0.8125,0.5303131880050524
JDR,HDBSCAN,14,0.5540276711943878,0.7554783319315512,0.61125,0.715,0.43339751278560557
Classical shape,K-medoids,14,0.9516519708327049,0.9516519708327049,1.0,1.0,0.39814073780792486
Classical shape,K-means,14,0.95801149442605,0.95801149442605,1.0,1.0,0.3045207232438662
Classical shape,Average linkage,14,0.5956426970107292,0.5956426970107292,1.0,1.0,0.009215058293278107
Classical shape,DBSCAN,14,0.950174591858152,,0.78,0.78125,0.05908424901056612
Classical shape,HDBSCAN,14,0.8713689467800916,1.0,0.4725,0.4975,0.16770087917406057
Classical full,K-medoids,14,0.4600031587241697,0.4600031587241697,1.0,1.0,0.43081255918041006
Classical full,K-means,14,0.8867175640115941,0.8867175640115941,1.0,1.0,0.3653135623711903
Classical full,Average linkage,14,0.6632153467233168,0.6632153467233168,1.0,1.0,0.021961927644584264
Classical full,DBSCAN,14,0.9601674405430237,,0.795,0.79625,0.062450962870001826
Classical full,HDBSCAN,14,0.9250961137049215,1.0,0.565,0.57125,0.25360340291808176
JDR,K-medoids,15,0.8561246711268347,0.8561246711268347,1.0,1.0,0.31100206904530664
JDR,K-means,15,0.9904892769363486,0.9904892769363486,1.0,1.0,0.30090665303119757
JDR,Average linkage,15,0.7431566510791193,0.7431566510791193,1.0,1.0,0.6751296653071384
JDR,DBSCAN,15,0.9326501636543548,0.9905985450820496,0.80125,0.82125,0.5318338457562799
JDR,HDBSCAN,15,0.5587270698619704,0.7251546144023523,0.52375,0.53875,0.11253379797688205
Classical shape,K-medoids,15,0.7085619807198433,0.7085619807198433,1.0,1.0,0.3419245672063282
Classical shape,K-means,15,0.5265583092182629,0.5265583092182629,1.0,1.0,0.37625764168532255
Classical shape,Average linkage,15,0.7474434925582237,0.7474434925582237,1.0,1.0,0.015546668024189393
