object_id,region,catalog_type,catalog_period,catalog_epoch,catalog_secondary_period,period_mode,sha256,file,bytes,n_observations,baseline_days,has_errors
OGLE-LMC-RRLYR-07394,LMC,RRab,0.5675526,2167.61813,,fundamental,b004e5258b1287097db41e4bc70218a4039ad8af88315f643523c1a96fcac376,photometry/OGLE-LMC-RRLYR-07394.dat,8184,341,2373.75016,True
OGLE-LMC-RRLYR-07395,LMC,RRab,0.5594484,457.7496,,fundamental,72183e9ad81a8f66ba46e59c89d8f947435cb6b49f56019e88751a5d0211d09f,photometry/OGLE-LMC-RRLYR-07395.dat,18312,763,4083.82544,True
OGLE-LMC-RRLYR-07396,LMC,RRab,0.566165,2173.79482,,fundamental,96e256c9320aa573bcfcec74029b1b016bb4792bc24793006e8b1d1434227c49,photometry/OGLE-LMC-RRLYR-07396.dat,7512,313,2367.7428000000004,True
OGLE-LMC-RRLYR-07397,LMC,RRab,0.4895814,457.44976,,fundamental,60cdc4690f030738be9936b4d671b09ec371b6f11659856d0a9f23ba2b3c703b,photometry/OGLE-LMC-RRLYR-07397.dat,18432,768,4083.82668,True
OGLE-LMC-RRLYR-07398,LMC,RRab,0.539426,2167.65076,,fundamental,32e65ee55ff0452ad0520242fd7a602d8f3c1bb995bc72d17e466b67324e21a2,photometry/OGLE-LMC-RRLYR-07398.dat,8904,371,2373.75035,True
OGLE-LMC-RRLYR-07399,LMC,RRc,0.3199483,2167.59677,,first overtone,ea05cdae2e8553f3879f8ec157b74a95aef0b8e5a25c5cd6f2a3111d7c67216f,photometry/OGLE-LMC-RRLYR-07399.dat,8880,370,2373.75054,True
OGLE-LMC-RRLYR-07400,LMC,RRc,0.2955586,2167.81824,,first overtone,b17992606ba170c662759599cb3575579b40e7eec1ae9a9fa523db19e616ab51,photometry/OGLE-LMC-RRLYR-07400.dat,8640,360,2373.7499999999995,True
OGLE-LMC-RRLYR-07401,LMC,RRab,0.6379716,2230.72717,,fundamental,9ad1cb0d929c5a693c846db5f10022b157c389cec2b783f403b0e473f2d3708d,photometry/OGLE-LMC-RRLYR-07401.dat,3264,136,2308.7397,True
OGLE-LMC-RRLYR-07402,LMC,RRab,0.5905448,2167.58504,,fundamental,1aa805d1f468737151c3d1e07ae81797fe6643ebf223609bc6e86d349cd3a167,photometry/OGLE-LMC-RRLYR-07402.dat,8640,360,2373.7499999999995,True
OGLE-LMC-RRLYR-07403,LMC,RRc,0.325579,2167.55633,,first overtone,6aa9e9a193214db82fd0d7f6870cb5502aca3457063562faaa194991135367ae,photometry/OGLE-LMC-RRLYR-07403.dat,8568,357,2373.7498600000004,True
OGLE-LMC-RRLYR-07404,LMC,RRab,0.6013607,2167.83422,,fundamental,c22e64c10d246433c8f93c0f44f7222722ffd7781ef42922a23a90291ea016a8,photometry/OGLE-LMC-RRLYR-07404.dat,9168,382,2373.7504,True
OGLE-LMC-RRLYR-07405,LMC,RRc,0.3030204,2167.73623,,first overtone,f9d432874bc73e747612e0217a7e1fcea8d0f8c4795bcbb91fede055bd0f1395,photometry/OGLE-LMC-RRLYR-07405.dat,8568,357,2373.7498600000004,True
OGLE-LMC-RRLYR-07406,LMC,RRab,0.6407379,457.66293,,fundamental,8e88b8dd16aeda18ee9be25fecdd0b16d3729e61bde7579bfb3f75487f3c4fc1,photometry/OGLE-LMC-RRLYR-07406.dat,18432,768,4083.8256699999997,True
OGLE-LMC-RRLYR-07407,LMC,RRab,0.4680781,2167.48002,,fundamental,a9bf8ffa83407f89c8d1ec68f81b012bda44a59c919f63b2205beaa98ccf94ae,photometry/OGLE-LMC-RRLYR-07407.dat,8664,361,2373.7499999999995,True
OGLE-LMC-RRLYR-07408,LMC,RRc,0.2866502,457.605,,first overtone,829ae2ca8eed16a8912048f32b00c79b30e6f441f25e1c1c5314d4a716b0e35e,photometry/OGLE-LMC-RRLYR-07408.dat,18456,769,4083.8260499999997,True
OGLE-LMC-RRLYR-07409,LMC,RRe,0.2542399,2167.59605,,catalog RRe,69c6387ab7e02e3103f49c2b5bbfddd444b0797a57f2a0a150136d44860095bd,photometry/OGLE-LMC-RRLYR-07409.dat,9168,382,2373.7504,True
OGLE-LMC-RRLYR-07410,LMC,RRab,0.7365559,2167.2906,,fundamental,9e8c8d4408eaf2d1f1276ccd394e8c704b1ed4d7c9f6476b7e4653e2b98f9bed,photometry/OGLE-LMC-RRLYR-07410.dat,9168,382,2373.7504,True
OGLE-LMC-RRLYR-07411,LMC,RRab,0.5747006,457.46089,,fundamental,bef42ba2932c8e2142263e285fa2ea8805270cde5da332c8b4530ccd638f0d94,photometry/OGLE-LMC-RRLYR-07411.dat,18456,769,4083.8269,True
OGLE-LMC-RRLYR-07412,LMC,RRc,0.3181047,2167.63567,,first overtone,55dc03cce6a1b0282f5ee479b6031aa4c6b166b3aafb7e0dc7395036163f461d,photometry/OGLE-LMC-RRLYR-07412.dat,9240,385,2373.7506999999996,True
OGLE-LMC-RRLYR-07413,LMC,RRc,0.3473436,457.61495,,first overtone,61ea1c1c95786b9f93d4b92392e4282890a1f888439f0696d0bfe54dbcdff07a,photometry/OGLE-LMC-RRLYR-07413.dat,18408,767,4083.8273099999997,True
OGLE-LMC-RRLYR-07414,LMC,RRab,0.5324431,2167.39782,,fundamental,30150cca6a6d987bd9c3945ad2737f8baacc318e58b61b1a602f174073a886b9,photometry/OGLE-LMC-RRLYR-07414.dat,8928,372,2373.75035,True
OGLE-LMC-RRLYR-07415,LMC,RRab,0.5712561,457.74007,,fundamental,ca382b6cabde3b1197d3df17111a2489442cea7979ddd809c44c64266f61388d,photometry/OGLE-LMC-RRLYR-07415.dat,17256,719,4083.8195899999996,True
OGLE-LMC-RRLYR-07416,LMC,RRab,0.6299939,2167.54175,,fundamental,51bf1ef00bf15390c8cc085f393c698add17366b3604a602d0eb04bfd2e9437f,photometry/OGLE-LMC-RRLYR-07416.dat,8664,361,2373.7499999999995,True
OGLE-LMC-RRLYR-07417,LMC,RRab,0.5980876,457.38249,,fundamental,3752eeb48a08541eb0c9fb0e8acb6b5471e9816db9b401f5de5748a9588052f7,photometry/OGLE-LMC-RRLYR-07417.dat,18408,767,4083.82663,True
OGLE-LMC-RRLYR-07418,LMC,RRab,0.7774786,457.76108,,fundamental,8f95bf196c6e1fa854455237dd31522b7e899344a5a5dec20f3c7de157a15865,photometry/OGLE-LMC-RRLYR-07418.dat,17208,717,4083.8191799999995,True
OGLE-LMC-RRLYR-07419,LMC,RRe,0.2946947,2167.60885,,catalog RRe,f3c7dbee6d12941e1f0feacd50546b85ca152b88a119402340da0d642181dadd,photometry/OGLE-LMC-RRLYR-07419.dat,8928,372,2373.75035,True
OGLE-LMC-RRLYR-07420,LMC,RRab,0.5843165,457.33968,,fundamental,651f8eb2a1c30f05c4c7375bdb566ca7f78efd977ac53e9a16a7a2433602718a,photometry/OGLE-LMC-RRLYR-07420.dat,16992,708,4083.8200799999995,True
OGLE-LMC-RRLYR-07421,LMC,RRab,0.7887146,457.3384,,fundamental,405357991a60c66bc5416fac45eb2343c74dcde1933fd6a66d66adad36a9ba0d,photometry/OGLE-LMC-RRLYR-07421.dat,13824,576,4083.8196699999994,True
OGLE-LMC-RRLYR-07422,LMC,RRd,0.350214,2167.65387,0.4710425,first overtone,f1fc503ab657b1477079329c28367ad5f042cbc2be188cd808ebe5baf1ab3248,photometry/OGLE-LMC-RRLYR-07422.dat,8952,373,2373.7504,True
OGLE-LMC-RRLYR-07423,LMC,RRc,0.3445238,2167.68811,,first overtone,5a5228ca0cf442dda500fd51b08cb069bafe8244d603f21b3738a2d999d6639e,photometry/OGLE-LMC-RRLYR-07423.dat,9144,381,2373.7504,True
OGLE-LMC-RRLYR-07424,LMC,RRc,0.3428863,457.48542,,first overtone,19a2af7637ebe8c1f65b77f3557fafc7edbaa1ec547dac541c3a9742d6062cb7,photometry/OGLE-LMC-RRLYR-07424.dat,17256,719,4083.8201999999997,True
OGLE-LMC-RRLYR-07426,LMC,RRab,0.6289485,457.23523,,fundamental,40644009928b89386c4d35897f403d878d84995ecaa28c39727dc6c29f87cd1b,photometry/OGLE-LMC-RRLYR-07426.dat,18360,765,4083.82631,True
OGLE-LMC-RRLYR-07427,LMC,RRab,0.3820998,2167.59325,,fundamental,15bb0eb4cd2c56a282293a833454c4901187964de0f7f38921fc79f0d1b0286c,photometry/OGLE-LMC-RRLYR-07427.dat,12936,539,2689.89402,True
OGLE-LMC-RRLYR-07428,LMC,RRab,0.5729453,2167.54709,,fundamental,e5694b462b9bf2335d65fe657f5c8ba2ee07bb15a0670af1ea3633428e0bbdce,photometry/OGLE-LMC-RRLYR-07428.dat,11088,462,2333.8345699999995,True
OGLE-LMC-RRLYR-07429,LMC,RRab,0.6711886,457.2003,,fundamental,8fd9dec8ff10bfe8e156bf016892b1ccc2bfd2781c6956f21b9be1eaa44f32a2,photometry/OGLE-LMC-RRLYR-07429.dat,17184,716,4083.8190499999996,True
OGLE-LMC-RRLYR-07430,LMC,RRab,0.5519091,457.6612,,fundamental,19c07bd6eccdc1b1d3a2d87abfad86d8bcbbe10733a60b7a3c229c5e6096f0cb,photometry/OGLE-LMC-RRLYR-07430.dat,17280,720,4083.8192599999998,True
OGLE-LMC-RRLYR-07431,LMC,RRab,0.4560417,457.62431,,fundamental,1f5871b1176aa481bc8bfd20f32fa5deccc9d6bc4a3dbf725d5dd623dc59eb26,photometry/OGLE-LMC-RRLYR-07431.dat,20280,845,4043.9157899999996,True
OGLE-LMC-RRLYR-07432,LMC,RRab,0.5623589,2167.38414,,fundamental,ff61b44b729993b2bee509e171cb43fc9223b06f730e0a757c6ac478099bc1c2,photometry/OGLE-LMC-RRLYR-07432.dat,11328,472,2333.8345699999995,True
OGLE-LMC-RRLYR-07433,LMC,RRc,0.3590817,2167.82838,,first overtone,add4b991aa41b7920366063eac53bfc335733aeaa626b87204e330d260ca1ef9,photometry/OGLE-LMC-RRLYR-07433.dat,9120,380,2371.6981699999997,True
