object_id,region,catalog_type,catalog_period,catalog_epoch,catalog_secondary_period,period_mode,sha256,file,bytes,n_observations,baseline_days,has_errors,eligible,exclusion_reason
OGLE-LMC-RRLYR-13506,LMC,RRc,0.3779287,455.47525,,first overtone,559cf83c57ebcd708602b656230f456b5912b9f0d57525d63e4bbf80b1398578,photometry/OGLE-LMC-RRLYR-13506.dat,21000,875,4085.9783100000004,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13534,LMC,RRab,0.6482465,455.2096,,fundamental,75d754ae69791590f368e3075fec091c30cb3da0cf92bb03fb511c037d74867f,photometry/OGLE-LMC-RRLYR-13534.dat,20952,873,4083.9023200000006,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13537,LMC,RRab,0.5365109,455.17488,,fundamental,58261534a4cdc832d44e30cf44d6c0ae411645b6386bc0d0e62f775722d804e8,photometry/OGLE-LMC-RRLYR-13537.dat,21024,876,4085.98254,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13570,LMC,RRab,0.634355,2167.32925,,fundamental,3eb97d8b220290ba3fdc3027ab5644b0663a780b5c73b7405de9cefe1ea55d88,photometry/OGLE-LMC-RRLYR-13570.dat,12336,514,2373.77994,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13607,LMC,RRc,0.3442448,455.33888,,first overtone,cb678f58a67023007e3ad42ebedb7e590cb59d10f740bc45211f7c4bacfff172,photometry/OGLE-LMC-RRLYR-13607.dat,20952,873,4085.9821899999997,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13671,LMC,RRab,0.5214624,446.53488,,fundamental,4ec143332050d3ce3e4daaf2294d61d6cec3358ce6b4f7af9818b1bbb627cc71,photometry/OGLE-LMC-RRLYR-13671.dat,20808,867,4092.8441400000006,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13766,LMC,RRe,0.266906,2167.67993,,catalog RRe,5102ba74424cd3b720578cacb262a3c469ebf7c6f0fecac3b931e3975c1a05ea,photometry/OGLE-LMC-RRLYR-13766.dat,12048,502,2373.7796,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13778,LMC,RRc,0.272564,446.5455,,first overtone,b617266cf74ea9484cbe0ddc79e5fd23baf89ef8e116d044dce885e61c7335d3,photometry/OGLE-LMC-RRLYR-13778.dat,21072,878,4094.9190100000005,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13798,LMC,RRab,0.5804628,455.40961,,fundamental,04d1d3bc8da5f55978dee8462f104625b62c40b17d751e236beef5a95d90d70c,photometry/OGLE-LMC-RRLYR-13798.dat,20856,869,4085.97677,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13829,LMC,RRc,0.330755,446.41441,,first overtone,4e9d7fb1622ce49bdb32ea186086904b0b37c13f8bd4e40799906481b92b2e00,photometry/OGLE-LMC-RRLYR-13829.dat,20712,863,4094.9186800000007,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13875,LMC,RRab,0.5890988,446.40501,,fundamental,8c69342ed0e689351b9bb17a4804a3af8d4658f5c0f5aaa6412f486e06dfd4ef,photometry/OGLE-LMC-RRLYR-13875.dat,20592,858,4094.9259199999997,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13900,LMC,RRab,0.566318,2167.74868,,fundamental,26588a598e8e843f4f8ac448226c325aee0a0250f9fe070212fcdd16535e752b,photometry/OGLE-LMC-RRLYR-13900.dat,8640,360,2373.7793600000005,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13903,LMC,RRab,0.6276065,455.44275,,fundamental,ba40f07f4e35f7471aea16cbb652097725d8512495091d9ce6e915dfee704e23,photometry/OGLE-LMC-RRLYR-13903.dat,20976,874,4085.9768300000005,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13958,LMC,RRc,0.3390032,446.4169,,first overtone,53e119d79c701747dd7a67d28bd151c48d29ec7a74660ca4570a8d71a5c7952b,photometry/OGLE-LMC-RRLYR-13958.dat,21072,878,4094.92521,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13991,LMC,RRab,0.5055038,2167.61446,,fundamental,fa2be57080de163ce5c6a25ca7b54b834527d102e32734f715560000238c4440,photometry/OGLE-LMC-RRLYR-13991.dat,8928,372,2373.7798200000007,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-14001,LMC,RRe,0.262872,446.69224,,catalog RRe,c66f9719f389bb577e79ae6aa320813c8b62b6fc97df5dddb2df9093db52b1f9,photometry/OGLE-LMC-RRLYR-14001.dat,32088,1337,4094.92636,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-14069,LMC,RRab,0.668773,446.16442,,fundamental,e48dfe7ff4e6e47d0dfef077f8d29b441a0ce3bf3ea61a3d45d9d3bc1181890c,photometry/OGLE-LMC-RRLYR-14069.dat,20808,867,4094.9010600000006,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-14073,LMC,RRc,0.287554,446.58034,,first overtone,c75ea246733e373937479b4e6307590b23e4e572f7ab4c228552dd0f7fc86ee9,photometry/OGLE-LMC-RRLYR-14073.dat,20808,867,4094.9190500000004,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-14162,LMC,RRd,0.36116,446.48632,0.4853301,first overtone,691bafc26b8b67751615d71ecd651655d560fb18decc70ec0f5cb36c47599219,photometry/OGLE-LMC-RRLYR-14162.dat,17880,745,4094.92407,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-14302,LMC,RRab,0.491035,446.59838,,fundamental,c3b9715ee20db51639f1e57dd3193f6ac0ee99271e6ecad0b3888e67b3eb6e88,photometry/OGLE-LMC-RRLYR-14302.dat,17472,728,4025.91997,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-14347,LMC,RRab,0.4988068,446.38068,,fundamental,9edd33d0e7a0cb42163dacaea9320bf49863d86a998481f97d1f24b6b0d31e1b,photometry/OGLE-LMC-RRLYR-14347.dat,21024,876,4094.9186100000006,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-14371,LMC,RRab,0.5255988,2167.54192,,fundamental,8011923781f4bd2a0e4a6c3988621c3e7d30aa2f0ec24ba5264b228829f3976c,photometry/OGLE-LMC-RRLYR-14371.dat,14736,614,2373.7829300000003,True,False,Exact duplicate folded phases
